budget,pd_cap,status,solve_time,n_approved,approval_rate,total_volume,weighted_pd,realized_default_rate,expected_profit,realized_profit,roi_expected,roi_realized,budget_label
1500000000.0,0.3,Optimal,45.90794110298157,67975,40.14564052893616,1044883350.0,0.2446141220914941,24.394262596542845,90055114.42098579,69928777.50287148,8.618676373873294,6.692496105222796,$1.5B
2000000000.0,0.15,Optimal,47.86607909202576,49476,29.22023848193668,677907450.0,0.1499999850486973,15.747028862478777,58085872.7843927,44196442.156798735,8.5684074993412,6.519539231616164,$2.0B
2000000000.0,0.18,Optimal,48.06077790260315,59750,35.28800326007996,839673775.0,0.1799999567456273,18.480334728033476,73839031.56687668,56351782.79697573,8.79377607891549,6.711151934806554,$2.0B
2000000000.0,0.2,Optimal,46.36560010910034,65023,38.40220645991933,935063625.0,0.1999998792761563,20.248219860664687,82116853.59148452,62444081.70508336,8.781953590749989,6.678056983029721,$2.0B
2000000000.0,0.22,Optimal,46.70188617706299,68217,40.28856432456694,1006587550.0,0.2199999021699533,21.972528841784307,87661547.34651121,67951895.516553,8.708785176859301,6.750718853670801,$2.0B
2000000000.0,0.25,Optimal,46.71442103385925,67970,40.14268755795206,1044836950.0,0.2446185496911949,24.394585846697076,90055033.8557552,69928954.07430986,8.619051408524095,6.6928102106563,$2.0B
2000000000.0,0.28,Optimal,46.44897198677063,67975,40.14564052893616,1044883350.0,0.2446163080877843,24.392791467451268,90055117.03890315,69934702.98144872,8.618676624419669,6.693063199968563,$2.0B
2000000000.0,0.3,Optimal,45.595515966415405,67975,40.14564052893616,1044883350.0,0.2446141220914941,24.394262596542845,90055114.42098579,69928777.50287148,8.618676373873294,6.692496105222796,$2.0B
2500000000.0,0.15,Optimal,49.01208996772766,49478,29.22141967033032,677907800.0,0.1499999829613894,15.74639233598771,58086105.79809642,44191714.76668511,8.568437447997562,6.518838515604203,$2.5B
2500000000.0,0.18,Optimal,50.721023082733154,59748,35.28682207168632,839614350.0,0.1799998201985498,18.472584856396868,73838646.39489852,56375615.056724206,8.794352597105865,6.714465403875507,$2.5B
2500000000.0,0.2,Optimal,50.30514693260193,65021,38.40102527152568,935071625.0,0.199998944831019,20.24884268159518,82115416.90201312,62442214.46654648,8.7817248119376,6.677800159591676,$2.5B
2500000000.0,0.22,Optimal,52.051873207092285,68214,40.28679254197648,1006571450.0,0.2199999964135055,21.97349517694315,87661500.68397585,67950963.25333697,8.70891983713385,6.750734212989745,$2.5B
2500000000.0,0.25,Optimal,50.76292419433594,67976,40.146231123132985,1044886350.0,0.244615207773877,24.392432623278804,90054559.62299395,69933334.37219955,8.618598532079009,6.692913001705836,$2.5B
2500000000.0,0.28,Optimal,49.96035265922546,67974,40.14504993473934,1044883350.0,0.2446147264418536,24.39315032218201,90055112.12535305,69933177.89651099,8.618676154170995,6.6929172425334365,$2.5B
2500000000.0,0.3,Optimal,48.5159649848938,67974,40.14504993473934,1044852850.0,0.2446175520728272,24.394621472916118,90055071.02686638,69919828.93750292,8.618923806052344,6.6918350213145255,$2.5B
