strategy,n_approved,approval_rate,total_volume,weighted_pd,actual_default_rate,expected_profit,realized_profit,roi_expected_pct,roi_realized_pct,issue_month,n_loans_in_month,cumulative_realized_profit
BIP Optimal,3912,38.87508695220113,54538675.0,0.19530428160477856,17.63803680981595,3917143.179703866,3490597.839287394,7.182321865545626,6.400224866642606,2017-12-01,10063,62439664.50679813
PD Threshold (<0.30),11936,72.80268374504422,157738250.0,0.17245809619543154,17.12466487935657,4732178.168814059,3657566.97448739,3.000019442851724,2.3187571654227113,2017-01-01,16395,3657566.97448739
PD Threshold (<0.30),9712,72.1116721116721,128892250.0,0.17360751015425074,17.318780889621088,3523723.0722301416,3075170.901602586,2.7338517810265097,2.3858462410289105,2017-02-01,13468,6732737.876089975
PD Threshold (<0.30),12448,73.17618011874669,163200475.0,0.17178918382254008,16.926413881748072,4228140.129109355,3217605.7736644726,2.590764597412694,1.9715664269141817,2017-03-01,17011,9950343.649754448
PD Threshold (<0.30),9398,71.71855921855922,120509850.0,0.1725999679943457,17.631410938497552,3069740.398365576,2042672.7813288812,2.5472941824801674,1.6950255778501768,2017-04-01,13104,11993016.431083329
PD Threshold (<0.30),11596,71.78852225592769,146505575.0,0.17448478407780113,17.661262504311832,3743234.8328517964,2768282.0650809407,2.5550118709487992,1.8895404253940102,2017-05-01,16153,14761298.49616427
PD Threshold (<0.30),10933,71.76238923531344,136200750.0,0.17204511484025772,17.442604957468216,3472709.0831093905,2529422.831480352,2.5496989430009673,1.85712841631221,2017-06-01,15235,17290721.327644624
PD Threshold (<0.30),10629,71.05421485393408,128286450.0,0.17381447638060013,17.480477937717566,3421510.2105315104,2599518.0032762177,2.6670862047640345,2.0263387156447292,2017-07-01,14959,19890239.33092084
PD Threshold (<0.30),11346,73.25198527987604,137245900.0,0.1731631932740837,17.160232681121098,3835890.845006996,3104940.828607455,2.7949037785514874,2.2623195509719816,2017-08-01,15489,22995180.159528296
PD Threshold (<0.30),8890,66.31359092943458,111936625.0,0.17369816970610666,17.17660292463442,3242371.877779943,2506630.1689580213,2.8966139346973727,2.2393297716078373,2017-09-01,13406,25501810.328486316
PD Threshold (<0.30),8443,70.7949018950193,105240075.0,0.1692837111844839,15.871135852185242,2603919.6765808146,1966053.6078947098,2.474266268416109,1.8681605917657413,2017-10-01,11926,27467863.936381027
PD Threshold (<0.30),8742,72.17635402906208,110686100.0,0.168283846625325,15.454129489819262,2399039.1354369735,2075337.6586107565,2.1674258424833592,1.8749758629229476,2017-11-01,12112,29543201.59499178
PD Threshold (<0.30),6963,69.19407731292854,88725525.0,0.16811722809107227,14.706304753698118,1731019.2901741266,1770238.5972530255,1.9509823020761234,1.9951852606710703,2017-12-01,10063,31313440.19224481
